Altitude/ft,time_pre/min,exercise_level,time_exposure/min,risk
34000,240,3,40,0.1
34000,240,3,50,0.14
34000,240,3,60,0.18
34000,240,3,70,0.23
34000,240,3,80,0.28
34000,240,3,90,0.32
34000,240,3,100,0.37
34000,240,3,110,0.41
34000,240,3,120,0.45
34000,240,3,130,0.49
34000,240,3,140,0.52
34000,240,3,150,0.55
34000,240,3,160,0.58
34000,240,3,170,0.61
34000,240,3,180,0.64
34000,240,3,190,0.66
34000,240,3,200,0.68
34000,240,3,210,0.7
34000,240,3,220,0.72
34000,240,3,230,0.73
34000,240,3,240,0.75
36000,0,3,10,0.1
36000,0,3,20,0.28
36000,0,3,30,0.45
36000,0,3,40,0.58
36000,0,3,50,0.67
36000,0,3,60,0.74
36000,0,3,70,0.79
36000,0,3,80,0.83
36000,0,3,90,0.86
36000,0,3,100,0.88
36000,0,3,110,0.9
36000,0,3,120,0.91
36000,0,3,130,0.92
36000,0,3,140,0.93
36000,0,3,150,0.94
36000,0,3,160,0.95
36000,0,3,170,0.95
36000,0,3,180,0.96
36000,0,3,190,0.96
36000,0,3,200,0.96
36000,0,3,210,0.97
36000,0,3,220,0.97
36000,0,3,230,0.97
36000,0,3,240,0.97
36000,20,3,10,0.09
36000,20,3,20,0.25
36000,20,3,30,0.41
36000,20,3,40,0.54
36000,20,3,50,0.64
36000,20,3,60,0.71
36000,20,3,70,0.77
36000,20,3,80,0.81
36000,20,3,90,0.84
36000,20,3,100,0.86
36000,20,3,110,0.88
36000,20,3,120,0.9
36000,20,3,130,0.91
36000,20,3,140,0.92
36000,20,3,150,0.93
36000,20,3,160,0.94
36000,20,3,170,0.95
36000,20,3,180,0.95
36000,20,3,190,0.96
36000,20,3,200,0.96
36000,20,3,210,0.96
36000,20,3,220,0.97
36000,20,3,230,0.97
36000,20,3,240,0.97
36000,40,3,10,0.08
36000,40,3,20,0.22
36000,40,3,30,0.37
36000,40,3,40,0.5
36000,40,3,50,0.6
36000,40,3,60,0.68
36000,40,3,70,0.74
36000,40,3,80,0.78
36000,40,3,90,0.82
36000,40,3,100,0.85
36000,40,3,110,0.87
36000,40,3,120,0.89
36000,40,3,130,0.9
36000,40,3,140,0.91
36000,40,3,150,0.92
36000,40,3,160,0.93
36000,40,3,170,0.94
36000,40,3,180,0.94
36000,40,3,190,0.95
36000,40,3,200,0.95
36000,40,3,210,0.96
36000,40,3,220,0.96
36000,40,3,230,0.96
36000,40,3,240,0.97
36000,60,3,10,0.07
36000,60,3,20,0.2
36000,60,3,30,0.34
36000,60,3,40,0.46
36000,60,3,50,0.57
36000,60,3,60,0.65
36000,60,3,70,0.71
36000,60,3,80,0.76
36000,60,3,90,0.8
36000,60,3,100,0.83
36000,60,3,110,0.85
36000,60,3,120,0.87
36000,60,3,130,0.89
36000,60,3,140,0.9
36000,60,3,150,0.91
36000,60,3,160,0.92
36000,60,3,170,0.93
36000,60,3,180,0.93
36000,60,3,190,0.94
36000,60,3,200,0.95
36000,60,3,210,0.95
36000,60,3,220,0.95
36000,60,3,230,0.96
36000,60,3,240,0.96
36000,80,3,10,0.06
36000,80,3,20,0.17
36000,80,3,30,0.3
36000,80,3,40,0.43
36000,80,3,50,0.53
36000,80,3,60,0.61
36000,80,3,70,0.68
36000,80,3,80,0.73
36000,80,3,90,0.77
36000,80,3,100,0.8
36000,80,3,110,0.83
36000,80,3,120,0.85
36000,80,3,130,0.87
36000,80,3,140,0.88
36000,80,3,150,0.9
36000,80,3,160,0.91
36000,80,3,170,0.92
36000,80,3,180,0.92
36000,80,3,190,0.93
36000,80,3,200,0.94
36000,80,3,210,0.94
36000,80,3,220,0.95
36000,80,3,230,0.95
36000,80,3,240,0.95
36000,100,3,10,0.05
36000,100,3,20,0.15
36000,100,3,30,0.27
36000,100,3,40,0.39
36000,100,3,50,0.49
36000,100,3,60,0.57
36000,100,3,70,0.64
36000,100,3,80,0.7
36000,100,3,90,0.74
36000,100,3,100,0.78
36000,100,3,110,0.81
36000,100,3,120,0.83
36000,100,3,130,0.85
36000,100,3,140,0.87
36000,100,3,150,0.88
36000,100,3,160,0.89
36000,100,3,170,0.9
36000,100,3,180,0.91
36000,100,3,190,0.92
36000,100,3,200,0.93
36000,100,3,210,0.93
36000,100,3,220,0.94
36000,100,3,230,0.94
36000,100,3,240,0.95
36000,120,3,10,0.04
36000,120,3,20,0.13
36000,120,3,30,0.24
36000,120,3,40,0.35
36000,120,3,50,0.45
36000,120,3,60,0.54
36000,120,3,70,0.61
36000,120,3,80,0.67
36000,120,3,90,0.71
36000,120,3,100,0.75
36000,120,3,110,0.78
36000,120,3,120,0.81
36000,120,3,130,0.83
36000,120,3,140,0.85
36000,120,3,150,0.87
36000,120,3,160,0.88
36000,120,3,170,0.89
36000,120,3,180,0.9
36000,120,3,190,0.91
36000,120,3,200,0.92
36000,120,3,210,0.92
36000,120,3,220,0.93
36000,120,3,230,0.93
36000,120,3,240,0.94
36000,140,3,10,0.04
36000,140,3,20,0.12
36000,140,3,30,0.22
36000,140,3,40,0.32
36000,140,3,50,0.42
36000,140,3,60,0.5
36000,140,3,70,0.57
36000,140,3,80,0.63
36000,140,3,90,0.68
36000,140,3,100,0.72
36000,140,3,110,0.76
36000,140,3,120,0.78
36000,140,3,130,0.81
36000,140,3,140,0.83
36000,140,3,150,0.85
36000,140,3,160,0.86
36000,140,3,170,0.87
36000,140,3,180,0.89
36000,140,3,190,0.9
36000,140,3,200,0.9
36000,140,3,210,0.91
36000,140,3,220,0.92
36000,140,3,230,0.93
36000,140,3,240,0.93
36000,160,3,10,0.03
36000,160,3,20,0.1
36000,160,3,30,0.19
36000,160,3,40,0.29
36000,160,3,50,0.38
36000,160,3,60,0.46
36000,160,3,70,0.53
36000,160,3,80,0.59
36000,160,3,90,0.65
36000,160,3,100,0.69
36000,160,3,110,0.73
36000,160,3,120,0.76
36000,160,3,130,0.78
36000,160,3,140,0.81
36000,160,3,150,0.83
36000,160,3,160,0.84
36000,160,3,170,0.86
36000,160,3,180,0.87
36000,160,3,190,0.88
36000,160,3,200,0.89
36000,160,3,210,0.9
36000,160,3,220,0.91
36000,160,3,230,0.91
36000,160,3,240,0.92
36000,180,3,10,0.03
36000,180,3,20,0.09
36000,180,3,30,0.17
36000,180,3,40,0.26
36000,180,3,50,0.35
36000,180,3,60,0.43
36000,180,3,70,0.5
36000,180,3,80,0.56
36000,180,3,90,0.61
36000,180,3,100,0.66
